epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,650.332,1.42572,9.91551,0.69063,2.46362,1.51112,0.16281,0.76703,0.30013,0.15817,0,0,0,0,1.33429,10.0531,0.63984,21.2379,1.67568,0.000325,0.000325,0.000325
2,1277.74,1.29183,8.60951,0.6657,1.81087,1.34142,0.20955,0.64119,0.42287,0.2036,0,0,0,0,1.53593,9.01139,0.56475,18.0985,1.74856,0.000661407,0.000661407,0.000661407
3,1905.73,1.39652,7.8029,0.62316,1.67769,1.40864,0.2823,0.45381,0.37293,0.16761,0,0,0,0,1.89339,8.99852,0.49607,4.71574,1.87271,0.0009967,0.0009967,0.0009967
4,2531.67,1.40366,7.3429,0.5508,1.58101,1.41859,0.21865,0.29548,0.22623,0.10763,0.00092,0.01802,0.00019,2e-05,1.69518,7.96768,0.3024,10.7021,2.00174,0.00124381,0.00124381,0.00124381
5,3158.16,1.36305,6.80548,0.53005,1.52129,1.41167,0.27466,0.56537,0.32675,0.1713,0,0,0,0,1.4559,10.1253,0.14464,6.01412,1.56242,0.00124175,0.00124175,0.00124175
6,3785.96,1.33951,6.36396,0.4867,1.4806,1.36539,0.3601,0.75759,0.65638,0.33686,0.0033,0.01351,0.00119,0.00013,1.42135,6.86794,0.17984,2.38387,1.48586,0.00123969,0.00123969,0.00123969
7,4413.17,1.3481,5.87741,0.45594,1.39448,1.37935,0.8359,0.69022,0.75978,0.46479,0.27101,0.01736,0.00358,0.00043,1.13367,6.88812,0.15437,1.43139,1.36233,0.00123763,0.00123763,0.00123763
8,5038.05,1.28496,5.51849,0.43994,1.31596,1.36049,0.70029,0.85701,0.76274,0.46437,0.33892,0.09553,0.03766,0.00537,1.26883,5.57914,0.1641,1.15507,1.45057,0.00123556,0.00123556,0.00123556
9,5662.38,1.29763,5.2366,0.42463,1.26378,1.33381,0.63029,0.8628,0.78246,0.4907,0.23697,0.35166,0.20461,0.03138,1.1755,4.80745,0.17458,1.21307,1.35083,0.0012335,0.0012335,0.0012335
10,6287.13,1.26715,5.22909,0.41192,1.26366,1.32584,0.77752,0.66148,0.73916,0.46922,0.22633,0.34943,0.21472,0.03603,1.2015,4.73024,0.1843,1.25722,1.30216,0.00123144,0.00123144,0.00123144
11,6911.15,1.28623,4.92087,0.39274,1.24423,1.3197,0.76857,0.63381,0.71179,0.42677,0.60629,0.44954,0.39503,0.06409,1.25439,4.18596,0.18641,1.463,1.58506,0.00122937,0.00122937,0.00122937
12,7536.16,1.26539,4.71675,0.40265,1.25384,1.34064,0.65021,0.82502,0.77868,0.4922,0.74697,0.51065,0.43798,0.09515,1.17063,3.9621,0.18637,1.28262,1.4217,0.00122731,0.00122731,0.00122731
13,8159.2,1.22407,4.7053,0.38044,1.2133,1.33077,0.81054,0.75935,0.80788,0.51534,0.64638,0.5793,0.55761,0.15029,1.18294,3.48204,0.15651,0.97504,1.39766,0.00122525,0.00122525,0.00122525
14,8783.08,1.26227,4.64074,0.36624,1.18213,1.3355,0.72448,0.84676,0.83051,0.53097,0.5679,0.67723,0.55224,0.12802,1.21097,3.57146,0.18144,0.99847,1.42356,0.00122319,0.00122319,0.00122319
15,9406.59,1.20942,4.46509,0.35992,1.17071,1.2977,0.67442,0.87576,0.80472,0.50092,0.59382,0.80359,0.71044,0.17385,1.19491,3.3953,0.18847,1.01887,1.36151,0.00122112,0.00122112,0.00122112
16,10029.8,1.23333,4.40928,0.34907,1.18431,1.3097,0.71106,0.93644,0.77869,0.51523,0.67484,0.8959,0.71836,0.23699,1.13228,2.98523,0.16421,0.96479,1.32554,0.00121906,0.00121906,0.00121906
17,10654.2,1.23159,4.28029,0.3615,1.12766,1.3168,0.90221,0.71513,0.80425,0.51214,0.8843,0.66797,0.75371,0.2197,1.10348,3.07471,0.18413,1.09934,1.29604,0.001217,0.001217,0.001217
18,11278.4,1.24207,4.26188,0.3493,1.16394,1.29738,0.78752,0.84006,0.85388,0.55038,0.70885,0.74659,0.74747,0.20597,1.17481,3.19325,0.16748,0.96479,1.35055,0.00121494,0.00121494,0.00121494
19,11902.1,1.26212,4.34832,0.33112,1.13703,1.341,0.73585,0.86144,0.78816,0.50141,0.69257,0.81706,0.74217,0.21766,1.15309,2.99653,0.18013,1.05082,1.39842,0.00121287,0.00121287,0.00121287
20,12527.1,1.18428,4.24613,0.33234,1.15214,1.28761,0.7413,0.89403,0.80947,0.52183,0.57875,0.65977,0.58917,0.14375,1.12783,3.39617,0.19776,1.0245,1.29399,0.00121081,0.00121081,0.00121081
21,13150.2,1.21755,4.12847,0.31871,1.10242,1.29203,0.77195,0.91665,0.84245,0.54316,0.62755,0.78685,0.65511,0.16353,1.21273,3.14191,0.19658,0.91499,1.29163,0.00120875,0.00120875,0.00120875
22,13772.9,1.18331,4.10835,0.3345,1.09379,1.2771,0.84132,0.74111,0.81835,0.50119,0.74212,0.6238,0.68414,0.15391,1.28364,3.54182,0.15244,0.9665,1.44843,0.00120669,0.00120669,0.00120669
23,14397,1.17539,4.10739,0.31401,1.08115,1.26794,0.93984,0.71632,0.78623,0.52114,0.89336,0.6656,0.72483,0.20337,1.13528,3.05446,0.15818,0.91264,1.32665,0.00120462,0.00120462,0.00120462
24,15021,1.18834,4.04645,0.31434,1.07523,1.28753,0.84999,0.81665,0.84443,0.55197,0.78562,0.74735,0.77014,0.25615,1.18932,2.85812,0.14264,0.91557,1.42001,0.00120256,0.00120256,0.00120256
25,15645.7,1.20231,4.16387,0.3195,1.11688,1.29136,0.63651,0.77673,0.86358,0.52411,0.85862,0.61902,0.80029,0.23694,1.17647,3.14937,0.20516,1.0494,1.3019,0.0012005,0.0012005,0.0012005
26,16268.6,1.17885,4.26165,0.29038,1.06458,1.27309,0.78734,0.92547,0.86568,0.57897,0.78485,0.92318,0.85807,0.2878,1.12063,2.85264,0.18064,0.94065,1.28796,0.00119844,0.00119844,0.00119844
27,16891.5,1.15943,4.04672,0.29784,1.02836,1.26935,0.92428,0.8022,0.88,0.57731,0.74566,0.67369,0.6829,0.18178,1.09163,3.15045,0.16651,0.88797,1.26741,0.00119637,0.00119637,0.00119637
28,17516.3,1.16559,4.06477,0.29512,1.03244,1.26622,0.94368,0.82709,0.91087,0.61952,0.92541,0.80873,0.88878,0.28983,1.12231,2.80935,0.15756,0.83395,1.36637,0.00119431,0.00119431,0.00119431
29,18139.4,1.219,4.07116,0.29349,1.06754,1.30374,0.87598,0.80439,0.90155,0.58407,0.82222,0.7536,0.83034,0.24405,1.07553,3.03239,0.16354,0.89969,1.25227,0.00119225,0.00119225,0.00119225
30,18762.8,1.16843,3.87925,0.2915,1.03238,1.26251,0.93681,0.80577,0.91676,0.62061,0.93137,0.79986,0.90261,0.34206,1.08409,2.68553,0.15315,0.8506,1.26894,0.00119019,0.00119019,0.00119019
31,19386.4,1.20855,3.97794,0.27996,0.98134,1.29567,0.80072,0.96665,0.89286,0.59881,0.78024,0.94422,0.86732,0.27969,1.09611,2.91793,0.14502,0.8222,1.27159,0.00118812,0.00118812,0.00118812
32,20009.7,1.14185,3.91821,0.28846,0.99334,1.24666,0.91432,0.85781,0.94214,0.62509,0.89926,0.84069,0.91928,0.28926,1.11459,2.76212,0.15395,0.82206,1.34005,0.00118606,0.00118606,0.00118606
33,20634.3,1.15,3.96374,0.27365,1.00126,1.26473,0.88022,0.82688,0.89086,0.57588,0.89905,0.74447,0.84055,0.22781,1.16103,3.13354,0.17661,0.87936,1.2731,0.001184,0.001184,0.001184
34,21256.9,1.15389,3.85987,0.26753,1.02792,1.27191,0.94137,0.83164,0.90572,0.58055,0.89281,0.78185,0.82406,0.22942,1.173,2.9519,0.15923,0.88076,1.40624,0.00118194,0.00118194,0.00118194
35,21880,1.13328,3.87092,0.26613,0.97316,1.24592,0.95571,0.85896,0.92122,0.62322,0.95263,0.84492,0.90845,0.33618,1.07383,2.72192,0.14106,0.82682,1.28319,0.00117988,0.00117988,0.00117988
36,22503.7,1.15635,3.90384,0.26092,0.98193,1.26841,0.93511,0.86918,0.93446,0.61132,0.89839,0.81528,0.86148,0.24553,1.06371,3.0932,0.16793,0.86351,1.22088,0.00117781,0.00117781,0.00117781
37,23127.1,1.14282,3.89561,0.26062,0.98299,1.27954,0.89171,0.79426,0.88046,0.57522,0.88652,0.79035,0.87229,0.23572,1.08641,3.11917,0.13923,1.0001,1.23569,0.00117575,0.00117575,0.00117575
38,23750.8,1.1628,3.91575,0.26014,0.95488,1.27953,0.97765,0.83737,0.94429,0.62949,0.77021,0.896,0.85205,0.24443,1.19687,3.16369,0.12439,0.761,1.43329,0.00117369,0.00117369,0.00117369
39,24373.8,1.19311,3.78091,0.26367,0.95972,1.29184,0.95237,0.88482,0.94257,0.63286,0.93877,0.87056,0.91865,0.28158,1.18582,2.9203,0.1308,0.81025,1.32511,0.00117163,0.00117163,0.00117163
40,24997.3,1.15805,3.82556,0.2585,0.95082,1.25529,0.91187,0.83303,0.88591,0.59878,0.89477,0.81651,0.86745,0.26355,1.0876,2.91269,0.16533,0.93819,1.23315,0.00116956,0.00116956,0.00116956
41,25621.4,1.13815,3.82735,0.25859,0.96663,1.25703,0.92845,0.8367,0.91731,0.57098,0.92354,0.8248,0.90185,0.31577,1.08815,2.86346,0.15691,0.9616,1.2727,0.0011675,0.0011675,0.0011675
42,26244.6,1.15353,3.66238,0.23868,0.9631,1.26061,0.95868,0.82018,0.9338,0.59239,0.9659,0.82679,0.93445,0.30274,1.16757,2.86917,0.12891,0.82278,1.37733,0.00116544,0.00116544,0.00116544
43,26868.5,1.13262,3.70858,0.23556,0.90698,1.25371,0.84648,0.80126,0.87336,0.57878,0.80666,0.75368,0.79206,0.25395,1.19912,3.01098,0.12262,0.85406,1.38259,0.00116337,0.00116337,0.00116337
44,27492,1.14404,3.659,0.24726,0.91071,1.2678,0.94983,0.86028,0.92779,0.64734,0.93757,0.84837,0.90444,0.26619,1.01066,3.03229,0.12516,0.84303,1.22742,0.00116131,0.00116131,0.00116131
45,28114.6,1.15787,3.84988,0.24018,0.93587,1.26839,0.93821,0.81011,0.9425,0.61779,0.93641,0.80667,0.93565,0.30975,1.12066,2.92895,0.13635,0.82421,1.2355,0.00115925,0.00115925,0.00115925
46,28738.9,1.13148,3.78883,0.22958,0.91986,1.26064,0.85617,0.86621,0.90989,0.61532,0.83715,0.84674,0.88863,0.2772,1.08485,2.83824,0.11994,0.77701,1.26019,0.00115719,0.00115719,0.00115719
47,29361.7,1.13903,3.6865,0.22895,0.91088,1.24922,0.90631,0.80188,0.9121,0.62958,0.89529,0.78987,0.89338,0.31338,1.03611,2.77663,0.12529,0.79636,1.22633,0.00115513,0.00115513,0.00115513
48,29984.1,1.13311,3.63087,0.23101,0.94229,1.25266,0.94256,0.85792,0.93871,0.62767,0.92493,0.82443,0.90153,0.28844,1.11517,2.91855,0.11964,0.82118,1.27834,0.00115306,0.00115306,0.00115306
49,30607.5,1.13234,3.68886,0.22762,0.91265,1.23511,0.93906,0.85274,0.89257,0.61043,0.92408,0.83777,0.87215,0.27614,1.06959,2.92505,0.12621,0.77821,1.25577,0.001151,0.001151,0.001151
50,31230.7,1.12412,3.72888,0.22507,0.91979,1.23485,0.79886,0.9299,0.90484,0.60944,0.77621,0.90816,0.88043,0.31192,1.06349,2.84681,0.11421,0.81603,1.25886,0.00114894,0.00114894,0.00114894
51,31853.9,1.13124,3.67214,0.2303,0.93706,1.26971,0.87688,0.85857,0.91566,0.6246,0.86035,0.84079,0.89908,0.31673,1.05858,2.76587,0.11155,0.74439,1.27722,0.00114688,0.00114688,0.00114688
52,32476.8,1.09793,3.74851,0.23263,0.89386,1.24034,0.87179,0.85565,0.89691,0.60574,0.8634,0.84778,0.88763,0.31249,1.11494,2.72618,0.13084,0.74261,1.33371,0.00114481,0.00114481,0.00114481
53,33100.8,1.12027,3.65596,0.22601,0.87281,1.25073,0.78879,0.91392,0.89172,0.6161,0.7788,0.90257,0.88041,0.29276,1.07918,2.8308,0.11161,0.77945,1.28547,0.00114275,0.00114275,0.00114275
