epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,33723.3,1.10425,3.56687,0.21016,0.89064,1.25427,0.94391,0.85487,0.93347,0.6502,0.93487,0.83598,0.92043,0.3094,1.01453,2.80335,0.10662,0.76153,1.22275,0.00114069,0.00114069,0.00114069
55,34346,1.11168,3.59253,0.2187,0.8838,1.22723,0.89928,0.83022,0.91982,0.63285,0.88444,0.81258,0.89386,0.33739,1.07341,2.74207,0.113,0.77586,1.28377,0.00113863,0.00113863,0.00113863
56,34970.6,1.12634,3.65891,0.21692,0.89039,1.24712,0.94142,0.83747,0.92833,0.63143,0.93044,0.82635,0.90368,0.31743,1.09304,2.87502,0.1009,0.74871,1.27269,0.00113656,0.00113656,0.00113656
57,35596.8,1.11825,3.70995,0.21805,0.90953,1.22414,0.84777,0.91761,0.92681,0.61858,0.82165,0.92712,0.90817,0.31562,1.11082,2.78158,0.09094,0.75366,1.31514,0.0011345,0.0011345,0.0011345
58,36219.9,1.12784,3.6642,0.21106,0.84711,1.24747,0.96942,0.86407,0.92956,0.63887,0.96039,0.85509,0.92155,0.36825,1.09317,2.58355,0.09691,0.72488,1.2803,0.00113244,0.00113244,0.00113244
59,36844.8,1.11687,3.68398,0.21675,0.89299,1.25051,0.82423,0.97176,0.92238,0.63671,0.82085,0.9636,0.90917,0.35109,1.0821,2.5719,0.09515,0.75109,1.26343,0.00113038,0.00113038,0.00113038
60,37468.9,1.10109,3.6251,0.20298,0.85765,1.24774,0.94071,0.8546,0.92416,0.63654,0.93185,0.84565,0.90861,0.27694,1.04506,2.81786,0.12417,0.81042,1.21572,0.00112831,0.00112831,0.00112831
61,38094.2,1.07544,3.65639,0.20782,0.83355,1.23211,0.94044,0.82223,0.90997,0.62982,0.93969,0.82153,0.90308,0.31202,1.0649,2.78054,0.09727,0.75353,1.26353,0.00112625,0.00112625,0.00112625
62,38719.8,1.10518,3.55213,0.205,0.84953,1.2242,0.83207,0.96078,0.91408,0.63175,0.82399,0.95262,0.9027,0.32841,1.04341,2.70584,0.0933,0.81136,1.25557,0.00112419,0.00112419,0.00112419
63,39344.3,1.09973,3.60991,0.20196,0.88224,1.2372,0.92494,0.85445,0.91718,0.63179,0.91767,0.84469,0.90386,0.31774,1.05843,2.7376,0.0958,0.78672,1.25898,0.00112213,0.00112213,0.00112213
64,39968.8,1.12127,3.53201,0.20398,0.87721,1.23939,0.86915,0.84521,0.91202,0.62735,0.85649,0.83183,0.88222,0.33457,1.07195,2.61055,0.09743,0.76232,1.26073,0.00112006,0.00112006,0.00112006
65,40593.1,1.09511,3.55219,0.20784,0.85427,1.23611,0.87118,0.9472,0.94477,0.65574,0.86114,0.93668,0.92319,0.34969,1.08066,2.60252,0.08923,0.70098,1.25911,0.001118,0.001118,0.001118
66,41217.9,1.06717,3.58354,0.19044,0.81002,1.21196,0.84263,0.96111,0.92481,0.64903,0.83814,0.95663,0.91734,0.3645,1.08036,2.58294,0.08251,0.71883,1.27299,0.00111594,0.00111594,0.00111594
67,41844.2,1.08032,3.56486,0.21262,0.79867,1.21704,0.95534,0.83588,0.93293,0.64338,0.94957,0.82984,0.91248,0.37678,1.05948,2.61112,0.09873,0.72682,1.28096,0.00111388,0.00111388,0.00111388
68,42468.4,1.12003,3.58748,0.19678,0.88347,1.26685,0.86553,0.94901,0.93571,0.64341,0.86576,0.94815,0.93008,0.37679,1.06765,2.56872,0.09252,0.72215,1.2833,0.00111181,0.00111181,0.00111181
69,43093.7,1.11667,3.52827,0.19443,0.86646,1.23795,0.82459,0.9086,0.9258,0.65168,0.81163,0.89341,0.90217,0.33732,1.063,2.70486,0.08303,0.75392,1.27836,0.00110975,0.00110975,0.00110975
70,43718.4,1.09338,3.57211,0.19662,0.85299,1.23333,0.84321,0.96665,0.92216,0.61906,0.83448,0.95759,0.9144,0.31868,1.12928,2.63859,0.07874,0.72176,1.33715,0.00110769,0.00110769,0.00110769
71,44342.5,1.10255,3.61364,0.19621,0.81907,1.23505,0.95038,0.83508,0.93272,0.64047,0.93507,0.81946,0.90693,0.30369,1.08946,2.81444,0.09257,0.71971,1.24788,0.00110563,0.00110563,0.00110563
72,44967.7,1.0709,3.57107,0.19955,0.83638,1.22097,0.83414,0.98319,0.92876,0.64469,0.82977,0.97864,0.92331,0.29636,1.07451,2.87378,0.07255,0.67478,1.26466,0.00110356,0.00110356,0.00110356
73,45592,1.09766,3.53963,0.19996,0.83485,1.24031,0.8603,0.89751,0.93636,0.61287,0.85049,0.88564,0.91886,0.32096,1.12024,2.7027,0.08841,0.75523,1.2706,0.0011015,0.0011015,0.0011015
74,46216.2,1.08429,3.51057,0.19707,0.84382,1.23661,0.85176,0.93973,0.91838,0.6468,0.84367,0.93156,0.90691,0.32597,1.02059,2.66025,0.0836,0.73322,1.20886,0.00109944,0.00109944,0.00109944
75,46840.8,1.07403,3.49696,0.19525,0.84537,1.21455,0.89865,0.95347,0.94357,0.64606,0.88832,0.94306,0.92337,0.35858,1.08132,2.57852,0.07543,0.69046,1.26544,0.00109738,0.00109738,0.00109738
76,47466,1.05794,3.49145,0.18596,0.81462,1.22058,0.88162,0.96385,0.93355,0.66122,0.86833,0.95048,0.91461,0.32792,1.04317,2.68535,0.07737,0.68838,1.24493,0.00109531,0.00109531,0.00109531
77,48090.5,1.03983,3.46872,0.18531,0.83458,1.19124,0.86989,0.96055,0.94024,0.65147,0.85813,0.94831,0.92476,0.32991,1.02224,2.68978,0.07319,0.74102,1.21518,0.00109325,0.00109325,0.00109325
78,48715,1.08777,3.57682,0.19019,0.80714,1.23308,0.87305,0.96997,0.94674,0.66548,0.85981,0.9566,0.92749,0.28337,1.03893,2.82995,0.08029,0.70728,1.23767,0.00109119,0.00109119,0.00109119
79,49340.3,1.03463,3.59415,0.18025,0.79178,1.21463,0.87119,0.95126,0.93874,0.67446,0.87187,0.94831,0.93242,0.36448,1.03803,2.55206,0.05885,0.65385,1.26468,0.00108913,0.00108913,0.00108913
80,49964.8,1.09962,3.55737,0.18191,0.7724,1.228,0.85821,0.96665,0.93552,0.65738,0.83337,0.94038,0.9021,0.28091,1.08623,2.8326,0.08328,0.63572,1.27966,0.00108706,0.00108706,0.00108706
81,50590.2,1.09773,3.42175,0.179,0.85162,1.22714,0.78889,0.9628,0.88673,0.61769,0.77862,0.95215,0.87479,0.32323,1.07468,2.69088,0.06968,0.77632,1.26912,0.001085,0.001085,0.001085
82,51214.7,1.07431,3.42951,0.1849,0.8194,1.19702,0.88557,0.86236,0.92198,0.63283,0.88408,0.8555,0.91444,0.36521,1.02935,2.57546,0.07233,0.78546,1.23944,0.00108294,0.00108294,0.00108294
83,51839.9,1.08042,3.40055,0.18368,0.83864,1.24523,0.85067,0.94517,0.92594,0.64606,0.84136,0.93405,0.90984,0.32316,0.98867,2.68783,0.07683,0.779,1.20148,0.00108088,0.00108088,0.00108088
84,52464.5,1.09883,3.42147,0.18938,0.84824,1.21455,0.86488,0.94365,0.93485,0.6416,0.86197,0.94069,0.92591,0.30185,1.11466,2.83249,0.07331,0.71309,1.3034,0.00107881,0.00107881,0.00107881
85,53089.6,1.08362,3.54977,0.19035,0.83983,1.22866,0.95235,0.87401,0.94433,0.65591,0.94647,0.8681,0.93439,0.35898,1.02843,2.64969,0.06585,0.70839,1.32139,0.00107675,0.00107675,0.00107675
86,53713.9,1.05201,3.45427,0.18448,0.78574,1.19998,0.87896,0.93287,0.94758,0.67188,0.86774,0.92175,0.92636,0.31172,1.02196,2.79601,0.08729,0.71854,1.27552,0.00107469,0.00107469,0.00107469
87,54338.9,1.05666,3.50948,0.18152,0.78139,1.21117,0.89239,0.938,0.94983,0.6744,0.88909,0.93289,0.94252,0.35416,1.03342,2.66458,0.09007,0.69513,1.27466,0.00107263,0.00107263,0.00107263
88,54964.4,1.04736,3.42504,0.1902,0.76137,1.21928,0.87079,0.94092,0.93293,0.63782,0.86801,0.93796,0.92894,0.32693,1.0961,2.71017,0.08491,0.65237,1.3203,0.00107056,0.00107056,0.00107056
89,55588.9,1.04618,3.38669,0.17945,0.79169,1.20168,0.93517,0.90667,0.9442,0.65551,0.92567,0.89691,0.92973,0.3366,1.0617,2.68634,0.06915,0.67926,1.26098,0.0010685,0.0010685,0.0010685
90,56213.6,1.04513,3.33384,0.17289,0.80199,1.19592,0.82711,0.93306,0.94101,0.65654,0.8244,0.93011,0.93644,0.36966,1.03359,2.63452,0.0551,0.74908,1.23114,0.00106644,0.00106644,0.00106644
91,56838.4,1.07575,3.49778,0.17576,0.76854,1.22061,0.8643,0.96837,0.94771,0.65067,0.85905,0.96317,0.93996,0.32976,1.14608,2.81885,0.05852,0.62532,1.34787,0.00106437,0.00106437,0.00106437
92,57462.9,1.08775,3.47267,0.17172,0.79842,1.23087,0.86412,0.93747,0.94765,0.64932,0.85773,0.93156,0.93317,0.34584,1.04901,2.77159,0.06663,0.76739,1.2259,0.00106231,0.00106231,0.00106231
93,58092.6,1.0508,3.42034,0.18421,0.80548,1.19964,0.9096,0.9567,0.95129,0.67272,0.89107,0.93653,0.92587,0.3556,1.0374,2.67557,0.05976,0.67537,1.25181,0.00106025,0.00106025,0.00106025
94,58717.2,1.07313,3.50345,0.18779,0.81335,1.22547,0.8354,0.92489,0.93854,0.64274,0.82472,0.91476,0.9282,0.33382,1.06193,2.85739,0.07187,0.76664,1.25741,0.00105819,0.00105819,0.00105819
95,59342.3,1.0493,3.47099,0.17435,0.78457,1.1961,0.8824,0.92581,0.94354,0.66278,0.87946,0.92285,0.93343,0.36117,1.03928,2.60412,0.07492,0.70576,1.2699,0.00105612,0.00105612,0.00105612
96,59966.7,1.03169,3.39214,0.17712,0.75768,1.17903,0.92971,0.91087,0.9409,0.66391,0.92159,0.9027,0.92461,0.33796,1.0592,2.72504,0.04924,0.62623,1.29231,0.00105406,0.00105406,0.00105406
97,60591.7,1.06619,3.40271,0.16717,0.79953,1.20408,0.91385,0.91182,0.94582,0.67196,0.90575,0.90365,0.9301,0.33741,1.01162,2.61245,0.06098,0.73483,1.21429,0.001052,0.001052,0.001052
98,61216.8,1.03544,3.42687,0.17076,0.80063,1.20173,0.91064,0.88934,0.93766,0.66664,0.90251,0.88117,0.92489,0.36984,1.04241,2.58702,0.05619,0.69822,1.24934,0.00104994,0.00104994,0.00104994
99,61840.8,1.04242,3.50051,0.17177,0.77289,1.19661,0.88979,0.92684,0.94327,0.6498,0.88693,0.92388,0.93555,0.38032,1.08862,2.62313,0.049,0.65548,1.28799,0.00104787,0.00104787,0.00104787
100,62464.8,1.09516,3.38152,0.1677,0.75351,1.21855,0.90789,0.89077,0.9274,0.63411,0.89615,0.87876,0.91823,0.35586,1.11493,2.55026,0.04782,0.64822,1.29961,0.00104581,0.00104581,0.00104581
101,63089.8,1.03651,3.37798,0.16591,0.76003,1.20115,0.90828,0.93555,0.94469,0.64984,0.90849,0.92195,0.93432,0.39446,1.04778,2.54506,0.06672,0.7188,1.2456,0.00104375,0.00104375,0.00104375
102,63715.2,1.07531,3.48864,0.1653,0.762,1.21314,0.91073,0.8511,0.92123,0.64109,0.90892,0.83524,0.90854,0.32342,1.02043,2.82705,0.05244,0.69176,1.24511,0.00104169,0.00104169,0.00104169
103,64339.7,1.04599,3.46213,0.17461,0.7438,1.1964,0.91608,0.83904,0.92033,0.65365,0.91323,0.83608,0.91352,0.32424,0.98302,2.74006,0.06277,0.66771,1.22408,0.00103962,0.00103962,0.00103962
104,64965,1.0206,3.3784,0.17072,0.79879,1.20271,0.86433,0.96693,0.93734,0.6748,0.8614,0.96397,0.92835,0.36083,1.013,2.60852,0.06479,0.64783,1.24277,0.00103756,0.00103756,0.00103756
105,65589.5,1.01183,3.47958,0.168,0.76044,1.21495,0.91879,0.88292,0.93646,0.66655,0.90542,0.86955,0.91937,0.35477,1.06141,2.6432,0.05191,0.62952,1.32945,0.0010355,0.0010355,0.0010355
106,66213.3,1.04533,3.41802,0.16974,0.77974,1.20522,0.91206,0.87489,0.92981,0.66327,0.90848,0.86851,0.92259,0.38978,1.02237,2.4858,0.05811,0.6889,1.24128,0.00103344,0.00103344,0.00103344
107,66838.5,1.04692,3.27044,0.16662,0.76791,1.18376,0.87471,0.94512,0.92734,0.64866,0.87174,0.94216,0.92212,0.33071,1.04525,2.62863,0.05858,0.71146,1.24471,0.00103138,0.00103138,0.00103138
108,67462.8,1.06594,3.30538,0.17319,0.77696,1.21136,0.88403,0.92138,0.95131,0.66114,0.87024,0.90513,0.92887,0.34051,1.03469,2.7187,0.05959,0.73033,1.24591,0.00102931,0.00102931,0.00102931
109,68088.1,1.03714,3.39795,0.17729,0.79551,1.20566,0.95337,0.86819,0.95354,0.66361,0.95031,0.86304,0.94701,0.35088,0.98369,2.71942,0.06581,0.78309,1.19044,0.00102725,0.00102725,0.00102725
110,68712,1.06851,3.30571,0.15785,0.7778,1.20376,0.86292,0.93521,0.92773,0.65208,0.85707,0.9293,0.91148,0.37327,1.04312,2.46744,0.05631,0.68737,1.24242,0.00102519,0.00102519,0.00102519
111,69336.9,1.04987,3.39276,0.16079,0.77205,1.19151,0.83661,0.91055,0.92995,0.6693,0.91088,0.84334,0.92533,0.40799,1.02464,2.42507,0.04727,0.64456,1.26969,0.00102312,0.00102312,0.00102312
112,69960.5,1.05342,3.33942,0.16315,0.77558,1.1991,0.87025,0.94114,0.92975,0.64385,0.86216,0.93297,0.9145,0.37358,1.06894,2.54339,0.05196,0.68907,1.2489,0.00102106,0.00102106,0.00102106
113,70584.4,1.00549,3.45897,0.15903,0.7501,1.18923,0.91218,0.85764,0.91817,0.63644,0.9086,0.85309,0.91119,0.36528,1.03892,2.51923,0.04385,0.70666,1.2324,0.001019,0.001019,0.001019
114,71210.7,1.03644,3.4725,0.16675,0.76571,1.20083,0.90516,0.88818,0.93503,0.64621,0.89606,0.87917,0.92371,0.38081,1.10327,2.51075,0.05526,0.69834,1.30014,0.00101694,0.00101694,0.00101694
115,71835,1.04232,3.32968,0.16514,0.77246,1.19707,0.89139,0.91878,0.93491,0.64165,0.87905,0.90197,0.91897,0.33615,1.06104,2.72004,0.04686,0.73198,1.21713,0.00101488,0.00101488,0.00101488
116,72460.4,1.00332,3.40587,0.16455,0.78631,1.18048,0.86872,0.89771,0.91019,0.63297,0.8623,0.89091,0.9033,0.34324,1.03397,2.68088,0.05496,0.70727,1.23415,0.00101281,0.00101281,0.00101281
117,73084.8,1.02085,3.29504,0.16659,0.73532,1.18125,0.83387,0.91467,0.90891,0.6344,0.83254,0.9136,0.9057,0.35706,1.0253,2.60441,0.04866,0.7275,1.20743,0.00101075,0.00101075,0.00101075
118,73709.5,1.03841,3.36481,0.1578,0.73851,1.19291,0.8985,0.90355,0.93876,0.66768,0.89548,0.88939,0.92948,0.34184,1.00678,2.64487,0.04547,0.71075,1.21181,0.00100869,0.00100869,0.00100869
119,74333.3,0.98744,3.20217,0.1624,0.77323,1.16776,0.93805,0.90408,0.93292,0.64532,0.92256,0.87516,0.90533,0.33937,1.06193,2.64944,0.03978,0.66423,1.27772,0.00100663,0.00100663,0.00100663
