epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,12727.7,1.10919,4.40012,0.35386,0.95885,1.21304,0.88363,0.98529,0.96571,0.65614,0.79886,0.8959,0.83396,0.20592,1.0513,3.47232,0.19379,0.75111,1.25813,0.00114275,0.00114275,0.00114275
28,13163.3,1.08726,4.22016,0.33126,0.92428,1.21418,0.74332,0.694,0.79188,0.4954,0.70389,0.65293,0.71431,0.17006,1.2911,3.78635,0.26044,1.01419,1.33708,0.00113863,0.00113863,0.00113863
29,13619.1,1.11856,4.30755,0.34194,0.92552,1.19835,0.79796,0.55046,0.66374,0.40446,0.70417,0.40762,0.44096,0.08759,1.37595,4.67552,0.31081,1.2957,1.40318,0.0011345,0.0011345,0.0011345
30,14072.6,1.08191,4.51167,0.33595,0.99059,1.2242,0.81575,0.78529,0.89112,0.61259,0.79473,0.71578,0.83168,0.26784,1.06815,3.10637,0.15685,0.89414,1.29578,0.00113038,0.00113038,0.00113038
31,14517.2,1.12161,4.27121,0.34377,0.97484,1.22214,0.87076,0.91765,0.90379,0.61575,0.84643,0.89308,0.86982,0.26972,1.09739,3.10739,0.14569,0.68392,1.32356,0.00112625,0.00112625,0.00112625
32,14977.6,1.07969,4.26726,0.32344,0.96821,1.21871,0.84984,1,0.94138,0.61832,0.79686,0.94488,0.86414,0.21285,1.09237,3.30475,0.15511,0.68774,1.32383,0.00112213,0.00112213,0.00112213
33,15412.2,1.10677,4.39711,0.32434,0.96846,1.21866,0.77543,0.95624,0.88085,0.59838,0.71494,0.89099,0.78787,0.17599,1.04513,3.63426,0.19335,0.90232,1.25276,0.001118,0.001118,0.001118
34,15862.7,1.10631,4.19668,0.32895,0.90643,1.20393,0.83546,0.99996,0.92492,0.66061,0.8014,0.96498,0.86952,0.26458,1.03385,3.09073,0.19012,0.70649,1.25177,0.00111388,0.00111388,0.00111388
35,16299.5,1.06308,4.02236,0.32171,0.85443,1.19852,0.83097,1,0.93782,0.65708,0.79812,0.9665,0.8887,0.26789,1.07164,3.20878,0.18056,0.68326,1.2774,0.00110975,0.00110975,0.00110975
36,16740.7,1.09989,4.06878,0.31801,0.86829,1.19818,0.92846,0.95294,0.96199,0.67176,0.91439,0.93879,0.94401,0.28223,1.10341,3.15393,0.16675,0.65286,1.27095,0.00110563,0.00110563,0.00110563
37,17178.2,1.10017,4.21018,0.30834,0.86581,1.1997,0.87053,1,0.96121,0.66761,0.81325,0.94193,0.88484,0.22019,1.12149,3.19227,0.17125,0.61441,1.29718,0.0011015,0.0011015,0.0011015
38,17614.3,1.08716,4.03158,0.29853,0.87841,1.20037,0.85318,0.95605,0.93252,0.62907,0.82128,0.92402,0.88864,0.23832,1.08212,3.12393,0.16412,0.69013,1.29953,0.00109738,0.00109738,0.00109738
39,18047,1.06799,4.11618,0.31192,0.81577,1.21284,0.77826,0.99265,0.89744,0.63721,0.69783,0.8649,0.71526,0.18804,1.03875,3.18469,0.16007,0.68582,1.24011,0.00109325,0.00109325,0.00109325
